time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-06-06 00:00:00+00:00,23,6,109,8
2022-06-07 00:00:00+00:00,1,1,16,4
2022-06-08 00:00:00+00:00,1,1,34,3
2022-06-09 00:00:00+00:00,1,1,6,5
2022-06-10 00:00:00+00:00,8,3,116,9
2022-06-12 00:00:00+00:00,0,0,10,1
2022-06-13 00:00:00+00:00,1,1,10,6
2022-06-14 00:00:00+00:00,4,2,38,10
2022-06-15 00:00:00+00:00,1,1,22,7
2022-06-16 00:00:00+00:00,0,0,29,7
2022-06-17 00:00:00+00:00,3,1,12,6
2022-06-18 00:00:00+00:00,1,1,6,2
2022-06-19 00:00:00+00:00,0,0,2,2
2022-06-20 00:00:00+00:00,2,1,8,3
2022-06-21 00:00:00+00:00,2,2,8,5
2022-06-22 00:00:00+00:00,1,1,41,9
2022-06-23 00:00:00+00:00,0,0,18,5
2022-06-24 00:00:00+00:00,0,0,9,5
2022-06-25 00:00:00+00:00,1,1,0,0
2022-06-26 00:00:00+00:00,2,2,4,3
2022-06-27 00:00:00+00:00,0,0,3,3
2022-06-28 00:00:00+00:00,0,0,10,3
2022-06-29 00:00:00+00:00,2,1,56,6
2022-06-30 00:00:00+00:00,10,4,23,4
2022-07-01 00:00:00+00:00,2,1,35,7
2022-07-02 00:00:00+00:00,1,1,9,5
2022-07-03 00:00:00+00:00,1,1,6,3
2022-07-04 00:00:00+00:00,7,2,1,1
2022-07-05 00:00:00+00:00,2,1,25,6
2022-07-06 00:00:00+00:00,41,6,112,12
2022-07-07 00:00:00+00:00,7,2,35,9
2022-07-08 00:00:00+00:00,28,5,83,7
2022-07-09 00:00:00+00:00,1,1,3,3
2022-07-10 00:00:00+00:00,1,1,1,1
2022-07-11 00:00:00+00:00,2,2,70,11
2022-07-12 00:00:00+00:00,12,6,34,7
2022-07-13 00:00:00+00:00,1,1,34,3
2022-07-14 00:00:00+00:00,1,1,11,4
2022-07-15 00:00:00+00:00,1,1,2,2
2022-07-16 00:00:00+00:00,0,0,3,2
2022-07-17 00:00:00+00:00,1,1,0,0
2022-07-18 00:00:00+00:00,0,0,47,3
2022-07-19 00:00:00+00:00,1,1,64,7
2022-07-20 00:00:00+00:00,0,0,37,8
2022-07-21 00:00:00+00:00,2,1,18,4
2022-07-22 00:00:00+00:00,0,0,5,1
2022-07-23 00:00:00+00:00,3,3,1,1
2022-07-25 00:00:00+00:00,0,0,27,5
2022-07-26 00:00:00+00:00,0,0,17,4
2022-07-27 00:00:00+00:00,0,0,22,6
2022-07-28 00:00:00+00:00,1,1,15,6
2022-07-29 00:00:00+00:00,0,0,45,6
2022-07-31 00:00:00+00:00,0,0,4,3
2022-08-01 00:00:00+00:00,0,0,20,6
2022-08-02 00:00:00+00:00,1,1,20,12
2022-08-03 00:00:00+00:00,0,0,24,9
2022-08-04 00:00:00+00:00,1,1,14,4
2022-08-05 00:00:00+00:00,7,2,8,5
2022-08-06 00:00:00+00:00,3,3,4,2
2022-08-07 00:00:00+00:00,4,3,11,3
2022-08-08 00:00:00+00:00,1,1,3,3
2022-08-09 00:00:00+00:00,0,0,22,9
2022-08-10 00:00:00+00:00,38,7,53,10
