time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-25 00:00:00+00:00,210,62,46,2
2026-03-26 00:00:00+00:00,388,104,6,2
2026-03-27 00:00:00+00:00,253,64,0,0
2026-03-28 00:00:00+00:00,38,21,0,0
2026-03-29 00:00:00+00:00,10,7,0,0
2026-03-30 00:00:00+00:00,420,123,0,0
2026-03-31 00:00:00+00:00,455,130,0,0
2026-04-01 00:00:00+00:00,415,107,3,1
2026-04-02 00:00:00+00:00,558,142,7,2
2026-04-03 00:00:00+00:00,409,116,2,2
2026-04-04 00:00:00+00:00,61,18,2,2
2026-04-05 00:00:00+00:00,17,10,1,1
2026-04-06 00:00:00+00:00,669,172,1,1
2026-04-07 00:00:00+00:00,632,156,0,0
