url_path,views_total,views_unique
/ethyca/fideslang,56,23
/ethyca/fideslang/search,17,2
/ethyca/fideslang/tree/f45fa281b1302566f0b46830d19cbf95a3d97915/src/fideslang,13,1
/ethyca/fideslang/tree/main/src/fideslang,11,4
/ethyca/fideslang/tree/main/src,6,4
/ethyca/fideslang/blob/f45fa281b1302566f0b46830d19cbf95a3d97915/src/fideslang/default_taxonomy.py,6,1
/ethyca/fideslang/tree/main/data_files,5,3
/ethyca/fideslang/blob/main/src/fideslang/manifests.py,4,1
/ethyca/fideslang/tree/main/mkdocs,3,2
/ethyca/fideslang/blob/f45fa281b1302566f0b46830d19cbf95a3d97915/src/fideslang/models.py,3,1
