url_path,views_total,views_unique
/ethyca/fideslang,71,39
/ethyca/fideslang/tree/main/data_files,14,6
/ethyca/fideslang/tree/main/src/fideslang,10,8
/ethyca/fideslang/tree/main/tests,9,4
/ethyca/fideslang/blob/main/src/fideslang/models.py,8,6
/ethyca/fideslang/blob/main/data_files/data_categories.csv,8,3
/ethyca/fideslang/tree/main/src,7,6
/ethyca/fideslang/tree/main/tests/data,7,3
/ethyca/fideslang/blob/main/data_files/data_categories.json,6,4
/ethyca/fideslang/blob/main/data_files/data_qualifiers.csv,6,3
