url_path,views_total,views_unique
/ethyca/fideslang,53,20
/ethyca/fideslang/blob/main/src/fideslang/models.py,22,6
/ethyca/fideslang/tree/main/src/fideslang,20,5
/ethyca/fideslang/tree/main/data_files,18,7
/ethyca/fideslang/pull/101,16,3
/ethyca/fideslang/tree/main/src,13,4
/ethyca/fideslang/blob/main/data_files/data_categories.csv,12,5
/ethyca/fideslang/blob/main/mkdocs/docs/index.md,11,1
/ethyca/fideslang/tree/main/mkdocs/docs,11,1
/ethyca/fideslang/blob/main/data_files/data_categories.yml,10,3
