referrer,views_total,views_unique
github.com,40,17
ethyca.github.io,31,13
Google,11,10
ethyca.com,5,3
t.corp.amazon.com,3,2
medium.ethyca.com,2,2
youtube.com,2,1
dev.to,1,1
