url_path,views_total,views_unique
/ethyca/fideslang,63,26
/ethyca/fideslang/search,19,3
/ethyca/fideslang/tree/main/src/fideslang,14,4
/ethyca/fideslang/tree/f45fa281b1302566f0b46830d19cbf95a3d97915/src/fideslang,12,1
/ethyca/fideslang/tree/main/src,10,5
/ethyca/fideslang/blob/a1dd092416f2799be9b4d817f209f86347d0910c/src/fideslang/models.py,10,1
/ethyca/fideslang/tree/a1dd092416f2799be9b4d817f209f86347d0910c/src/fideslang,7,1
/ethyca/fideslang/blob/main/src/fideslang/default_taxonomy.py,6,3
/ethyca/fideslang/tree/main/data_files,6,3
/ethyca/fideslang/blob/b38395bf74636186e03e6dc67434b360b358aa7b/src/fideslang/parse.py,6,1
