time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-04 00:00:00+00:00,4,4,1.0,1.0
2025-07-05 00:00:00+00:00,1,1,,
2025-07-06 00:00:00+00:00,12,8,,
2025-07-07 00:00:00+00:00,5,4,1.0,1.0
2025-07-08 00:00:00+00:00,5,5,,
2025-07-09 00:00:00+00:00,3076,17,,
2025-07-10 00:00:00+00:00,13036,12,,
2025-07-11 00:00:00+00:00,6576,8,,
2025-07-12 00:00:00+00:00,11,9,,
2025-07-13 00:00:00+00:00,44,33,,
2025-07-14 00:00:00+00:00,36,31,1.0,1.0
2025-07-15 00:00:00+00:00,29,25,,
2025-07-16 00:00:00+00:00,14242,14,1.0,1.0
2025-07-17 00:00:00+00:00,33,29,1.0,1.0
