url_path,views_total,views_unique
/ethyca/fideslang,5,5
/ethyca/fideslang/blob/main/LICENSE,1,1
/ethyca/fideslang/commit/40e7417a360cca73169ff23076cc149a8939d2a2,1,1
/ethyca/fideslang/commit/ae8810495e72c74a1e5f831700f5a255dc6399f0,1,1
/ethyca/fideslang/commit/b3d27d412276beb9ca8aa4e8a9a4ff853afccecb,1,1
/ethyca/fideslang/commit/ddce990b8002b7f61dcda6893bb54e84e7f94f85,1,1
/ethyca/fideslang/forks,1,1
/ethyca/fideslang/labels/bug,1,1
/ethyca/fideslang/pull/15/commits/4f1b3f03276fec09b65af936125e5dc959b15c52,1,1
/ethyca/fideslang/pull/19/commits,1,1
