time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-10 00:00:00+00:00,1,1,13,4
2023-06-11 00:00:00+00:00,17,5,115,9
2023-06-12 00:00:00+00:00,26,10,110,10
2023-06-13 00:00:00+00:00,99,9,74,11
2023-06-14 00:00:00+00:00,56,8,122,10
2023-06-15 00:00:00+00:00,258,35,101,6
2023-06-16 00:00:00+00:00,126,33,69,8
2023-06-17 00:00:00+00:00,1,1,5,3
2023-06-18 00:00:00+00:00,2,2,7,2
2023-06-19 00:00:00+00:00,351,54,40,8
2023-06-20 00:00:00+00:00,243,26,118,8
2023-06-21 00:00:00+00:00,459,86,114,10
2023-06-22 00:00:00+00:00,42,9,71,14
2023-06-23 00:00:00+00:00,198,6,74,8
