time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-09 00:00:00+00:00,1,1,28,5
2023-05-10 00:00:00+00:00,1,1,25,9
2023-05-11 00:00:00+00:00,1,1,5,3
2023-05-12 00:00:00+00:00,1,1,8,5
2023-05-13 00:00:00+00:00,1,1,1,1
2023-05-14 00:00:00+00:00,4,3,3,2
2023-05-15 00:00:00+00:00,29,6,18,8
2023-05-16 00:00:00+00:00,87,19,59,7
2023-05-17 00:00:00+00:00,26,6,81,11
2023-05-18 00:00:00+00:00,61,11,68,9
2023-05-19 00:00:00+00:00,3,3,77,9
2023-05-20 00:00:00+00:00,4,3,1,1
2023-05-21 00:00:00+00:00,3,2,2,2
2023-05-22 00:00:00+00:00,163,23,116,10
