time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-03 00:00:00+00:00,4.0,4.0,,
2025-08-04 00:00:00+00:00,5.0,5.0,,
2025-08-05 00:00:00+00:00,53.0,39.0,8.0,3.0
2025-08-06 00:00:00+00:00,29.0,22.0,7.0,2.0
2025-08-07 00:00:00+00:00,51.0,33.0,7.0,2.0
2025-08-08 00:00:00+00:00,28.0,23.0,4.0,1.0
2025-08-09 00:00:00+00:00,4.0,4.0,,
2025-08-10 00:00:00+00:00,59.0,38.0,1.0,1.0
2025-08-11 00:00:00+00:00,34.0,28.0,1.0,1.0
2025-08-12 00:00:00+00:00,5.0,5.0,1.0,1.0
2025-08-13 00:00:00+00:00,5.0,5.0,12.0,2.0
2025-08-14 00:00:00+00:00,2.0,2.0,3.0,2.0
2025-08-15 00:00:00+00:00,,,1.0,1.0
