url_path,views_total,views_unique
/ethyca/fideslang,48,30
/ethyca/fideslang/tree/main/data_files,21,5
/ethyca/fideslang/tree/main/demo_resources,6,1
/ethyca/fideslang/tree/main/src/fideslang,5,3
/ethyca/fideslang/blob/main/data_files/data_categories.yml,4,3
/ethyca/fideslang/issues,4,3
/ethyca/fideslang/blob/main/data_files/data_uses.yml,4,2
/ethyca/fideslang/tree/main/src,3,3
/ethyca/fideslang/blob/main/README.md,3,2
/ethyca/fideslang/blob/a1dd092416f2799be9b4d817f209f86347d0910c/src/fideslang/models.py,3,1
