time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-22 00:00:00+00:00,342,12,259,24
2022-07-23 00:00:00+00:00,103,11,101,3
2022-07-24 00:00:00+00:00,111,7,135,5
2022-07-25 00:00:00+00:00,407,11,384,15
2022-07-26 00:00:00+00:00,471,7,536,23
2022-07-27 00:00:00+00:00,303,12,390,20
2022-07-28 00:00:00+00:00,572,9,414,20
2022-07-29 00:00:00+00:00,348,9,625,24
2022-07-30 00:00:00+00:00,22,5,15,6
2022-07-31 00:00:00+00:00,36,6,75,3
2022-08-01 00:00:00+00:00,329,7,314,21
2022-08-02 00:00:00+00:00,319,10,308,23
2022-08-03 00:00:00+00:00,302,12,364,17
2022-08-04 00:00:00+00:00,148,7,181,18
