time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-02 00:00:00+00:00,319,10,308,23
2022-08-03 00:00:00+00:00,302,12,364,17
2022-08-04 00:00:00+00:00,148,7,197,19
2022-08-05 00:00:00+00:00,96,14,212,18
2022-08-06 00:00:00+00:00,8,7,36,5
2022-08-07 00:00:00+00:00,4,4,46,2
2022-08-08 00:00:00+00:00,447,17,330,15
2022-08-09 00:00:00+00:00,259,10,293,25
2022-08-10 00:00:00+00:00,227,10,317,24
2022-08-11 00:00:00+00:00,144,7,230,29
2022-08-12 00:00:00+00:00,519,21,449,14
2022-08-13 00:00:00+00:00,9,8,22,7
2022-08-14 00:00:00+00:00,4,4,22,5
2022-08-15 00:00:00+00:00,350,14,259,22
