referrer,views_total,views_unique
github.com,264,34
Google,21,7
ethyca.github.io,5,1
endtest.dev,4,4
ethyca.atlassian.net,3,1
mail.google.com,1,1
etwiki.sys.comcast.net,1,1
goodfirstissues.com,1,1
