time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-05-15 00:00:00+00:00,3.0,3.0,53,6
2022-05-16 00:00:00+00:00,77.0,9.0,510,23
2022-05-17 00:00:00+00:00,37.0,5.0,425,29
2022-05-18 00:00:00+00:00,98.0,11.0,438,26
2022-05-19 00:00:00+00:00,90.0,16.0,403,26
2022-05-20 00:00:00+00:00,12.0,3.0,293,17
2022-05-21 00:00:00+00:00,1.0,1.0,123,2
2022-05-22 00:00:00+00:00,,,36,6
2022-05-23 00:00:00+00:00,48.0,5.0,257,21
2022-05-24 00:00:00+00:00,74.0,14.0,447,24
2022-05-25 00:00:00+00:00,187.0,16.0,417,18
2022-05-26 00:00:00+00:00,180.0,14.0,434,15
2022-05-27 00:00:00+00:00,41.0,9.0,286,13
2022-05-28 00:00:00+00:00,9.0,4.0,10,5
