time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-03-06 00:00:00+00:00,2.0,1.0,1,1
2022-03-07 00:00:00+00:00,11.0,1.0,197,18
2022-03-08 00:00:00+00:00,43.0,5.0,250,17
2022-03-09 00:00:00+00:00,124.0,6.0,136,10
2022-03-10 00:00:00+00:00,66.0,9.0,336,22
2022-03-11 00:00:00+00:00,17.0,5.0,177,15
2022-03-12 00:00:00+00:00,,,8,3
2022-03-13 00:00:00+00:00,2.0,1.0,1,1
2022-03-14 00:00:00+00:00,46.0,6.0,280,21
2022-03-15 00:00:00+00:00,58.0,8.0,396,19
2022-03-16 00:00:00+00:00,238.0,11.0,514,21
2022-03-17 00:00:00+00:00,48.0,8.0,193,17
2022-03-18 00:00:00+00:00,87.0,13.0,313,17
2022-03-19 00:00:00+00:00,,,14,7
