time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-04 00:00:00+00:00,148,7,197,19
2022-08-05 00:00:00+00:00,96,14,212,18
2022-08-06 00:00:00+00:00,8,7,36,5
2022-08-07 00:00:00+00:00,4,4,46,2
2022-08-08 00:00:00+00:00,447,17,330,15
2022-08-09 00:00:00+00:00,259,10,293,25
2022-08-10 00:00:00+00:00,227,10,317,24
2022-08-11 00:00:00+00:00,144,7,230,29
2022-08-12 00:00:00+00:00,519,21,449,14
2022-08-13 00:00:00+00:00,9,8,22,7
2022-08-14 00:00:00+00:00,4,4,22,5
2022-08-15 00:00:00+00:00,423,15,282,23
2022-08-16 00:00:00+00:00,322,12,303,30
2022-08-17 00:00:00+00:00,296,13,358,19
