time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-06 00:00:00+00:00,1,1,,
2022-11-07 00:00:00+00:00,33,3,11.0,7.0
2022-11-08 00:00:00+00:00,10,8,26.0,12.0
2022-11-09 00:00:00+00:00,3,3,14.0,9.0
2022-11-10 00:00:00+00:00,5,3,72.0,17.0
2022-11-11 00:00:00+00:00,7,4,28.0,10.0
2022-11-12 00:00:00+00:00,1,1,12.0,2.0
2022-11-13 00:00:00+00:00,1,1,1.0,1.0
2022-11-14 00:00:00+00:00,47,5,108.0,15.0
2022-11-15 00:00:00+00:00,2,2,19.0,11.0
2022-11-16 00:00:00+00:00,4,2,21.0,11.0
2022-11-17 00:00:00+00:00,2,2,17.0,8.0
2022-11-18 00:00:00+00:00,5,3,21.0,10.0
2022-11-19 00:00:00+00:00,4,2,3.0,3.0
