time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-09-22 00:00:00+00:00,359,23,1015,45
2022-09-23 00:00:00+00:00,513,11,911,25
2022-09-24 00:00:00+00:00,35,7,218,9
2022-09-25 00:00:00+00:00,29,2,18,3
2022-09-26 00:00:00+00:00,253,8,376,24
2022-09-27 00:00:00+00:00,415,6,400,22
2022-09-28 00:00:00+00:00,728,7,678,33
2022-09-29 00:00:00+00:00,220,12,415,26
2022-09-30 00:00:00+00:00,192,5,332,31
2022-10-01 00:00:00+00:00,3,3,66,10
2022-10-02 00:00:00+00:00,41,3,27,13
2022-10-03 00:00:00+00:00,394,9,486,24
2022-10-04 00:00:00+00:00,64,6,223,23
2022-10-05 00:00:00+00:00,1,1,73,17
