time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-03-17 00:00:00+00:00,48.0,8.0,193,17
2022-03-18 00:00:00+00:00,87.0,13.0,313,17
2022-03-19 00:00:00+00:00,,,14,7
2022-03-20 00:00:00+00:00,20.0,5.0,47,5
2022-03-21 00:00:00+00:00,67.0,12.0,310,16
2022-03-22 00:00:00+00:00,30.0,7.0,218,23
2022-03-23 00:00:00+00:00,108.0,3.0,292,19
2022-03-24 00:00:00+00:00,35.0,6.0,133,16
2022-03-25 00:00:00+00:00,72.0,9.0,353,18
2022-03-26 00:00:00+00:00,59.0,12.0,92,6
2022-03-27 00:00:00+00:00,19.0,3.0,72,5
2022-03-28 00:00:00+00:00,88.0,11.0,328,20
2022-03-29 00:00:00+00:00,42.0,11.0,259,16
2022-03-30 00:00:00+00:00,25.0,6.0,178,20
