time_iso8601,forks_cumulative
2021-11-02 00:00:00+00:00,1
2021-11-08 00:00:00+00:00,2
2021-11-18 00:00:00+00:00,4
2022-01-20 00:00:00+00:00,5
2022-01-25 00:00:00+00:00,6
