time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-02 00:00:00+00:00,511,10,309,29
2024-10-03 00:00:00+00:00,1258,26,630,39
2024-10-04 00:00:00+00:00,251,10,193,22
2024-10-05 00:00:00+00:00,13,5,14,7
2024-10-06 00:00:00+00:00,4,3,17,12
2024-10-07 00:00:00+00:00,610,13,207,17
2024-10-08 00:00:00+00:00,1030,21,414,27
2024-10-09 00:00:00+00:00,419,16,180,25
2024-10-10 00:00:00+00:00,530,13,159,33
2024-10-11 00:00:00+00:00,22,3,56,22
2024-10-12 00:00:00+00:00,128,6,29,7
2024-10-13 00:00:00+00:00,8,4,11,11
2024-10-14 00:00:00+00:00,713,20,233,39
2024-10-15 00:00:00+00:00,1088,10,357,49
