time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-04-26 00:00:00+00:00,100,7,257,33
2022-04-27 00:00:00+00:00,151,11,469,38
2022-04-28 00:00:00+00:00,51,9,225,33
2022-04-29 00:00:00+00:00,55,1,177,22
2022-04-30 00:00:00+00:00,115,2,159,15
2022-05-01 00:00:00+00:00,35,2,54,17
2022-05-02 00:00:00+00:00,254,9,393,37
2022-05-03 00:00:00+00:00,148,10,569,52
2022-05-04 00:00:00+00:00,392,12,384,41
2022-05-05 00:00:00+00:00,217,5,562,38
2022-05-06 00:00:00+00:00,378,8,575,52
2022-05-07 00:00:00+00:00,12,2,74,12
2022-05-08 00:00:00+00:00,2,2,40,8
2022-05-09 00:00:00+00:00,104,4,194,31
