referrer,views_total,views_unique
github.com,188,29
Google,60,30
ethyca.atlassian.net,44,6
com.google.android.gm,32,1
ethyca.com,17,12
github.atlassian.com,9,1
ethyca.github.io,8,4
axioscode.atlassian.net,4,1
mail.google.com,2,1
iabtechlab.github.io,1,1
