referrer,views_total,views_unique
github.com,53,12
Google,45,30
ethyca.com,39,19
ethyca.atlassian.net,26,7
Bing,4,3
ethyca.github.io,3,2
github.atlassian.com,3,1
mail.google.com,3,1
cve.org,3,1
search.brave.com,3,1
