time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-10 00:00:00+00:00,2705,141,55,25
2026-06-11 00:00:00+00:00,456,103,70,33
2026-06-12 00:00:00+00:00,1220,115,65,53
2026-06-13 00:00:00+00:00,816,141,112,97
2026-06-14 00:00:00+00:00,2092,183,40,30
2026-06-15 00:00:00+00:00,373,88,44,29
2026-06-16 00:00:00+00:00,4017,116,50,26
2026-06-17 00:00:00+00:00,728,111,65,30
2026-06-18 00:00:00+00:00,590,135,44,28
2026-06-19 00:00:00+00:00,2388,294,52,36
2026-06-20 00:00:00+00:00,1159,227,8,7
2026-06-21 00:00:00+00:00,2142,331,9,7
2026-06-22 00:00:00+00:00,1253,267,29,21
2026-06-23 00:00:00+00:00,2749,367,40,31
