time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-27 00:00:00+00:00,74,7,23,5
2022-11-28 00:00:00+00:00,583,5,470,39
2022-11-29 00:00:00+00:00,1371,15,494,36
2022-11-30 00:00:00+00:00,1343,18,627,41
2022-12-01 00:00:00+00:00,701,18,491,34
2022-12-02 00:00:00+00:00,714,13,304,36
2022-12-03 00:00:00+00:00,37,5,18,8
2022-12-04 00:00:00+00:00,7,4,17,9
2022-12-05 00:00:00+00:00,1076,9,735,33
2022-12-06 00:00:00+00:00,691,13,770,42
2022-12-07 00:00:00+00:00,346,13,492,37
2022-12-08 00:00:00+00:00,494,7,469,38
2022-12-09 00:00:00+00:00,501,9,559,48
2022-12-10 00:00:00+00:00,139,5,104,12
