time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-29 00:00:00+00:00,2086,121,354,65
2025-05-30 00:00:00+00:00,1293,110,179,30
2025-05-31 00:00:00+00:00,64,10,43,7
2025-06-01 00:00:00+00:00,173,24,18,10
2025-06-02 00:00:00+00:00,1379,108,243,34
2025-06-03 00:00:00+00:00,2387,168,348,62
2025-06-04 00:00:00+00:00,1586,123,182,55
2025-06-05 00:00:00+00:00,1390,148,162,37
2025-06-06 00:00:00+00:00,1553,120,314,47
2025-06-07 00:00:00+00:00,51,9,29,6
2025-06-08 00:00:00+00:00,343,26,98,14
2025-06-09 00:00:00+00:00,1877,146,205,36
2025-06-10 00:00:00+00:00,1092,117,237,55
2025-06-11 00:00:00+00:00,1438,127,281,26
