time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-09 00:00:00+00:00,249.0,7.0,133,35
2025-01-10 00:00:00+00:00,406.0,11.0,109,32
2025-01-11 00:00:00+00:00,275.0,4.0,118,24
2025-01-12 00:00:00+00:00,121.0,2.0,27,15
2025-01-13 00:00:00+00:00,962.0,17.0,255,45
2025-01-14 00:00:00+00:00,560.0,17.0,241,49
2025-01-15 00:00:00+00:00,1425.0,21.0,488,68
2025-01-16 00:00:00+00:00,634.0,9.0,319,106
2025-01-17 00:00:00+00:00,770.0,15.0,121,35
2025-01-18 00:00:00+00:00,1.0,1.0,23,16
2025-01-19 00:00:00+00:00,,,14,12
2025-01-20 00:00:00+00:00,1264.0,13.0,258,66
2025-01-21 00:00:00+00:00,504.0,10.0,119,43
2025-01-22 00:00:00+00:00,410.0,13.0,111,34
