time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-01 00:00:00+00:00,933,71,656,39
2024-03-02 00:00:00+00:00,42,12,65,11
2024-03-03 00:00:00+00:00,197,27,53,12
2024-03-04 00:00:00+00:00,483,51,509,44
2024-03-05 00:00:00+00:00,993,84,728,39
2024-03-06 00:00:00+00:00,1417,198,350,36
2024-03-07 00:00:00+00:00,1167,110,403,25
2024-03-08 00:00:00+00:00,1223,104,368,28
2024-03-09 00:00:00+00:00,50,12,66,16
2024-03-10 00:00:00+00:00,44,6,68,12
2024-03-11 00:00:00+00:00,780,96,394,40
2024-03-12 00:00:00+00:00,643,84,192,40
2024-03-13 00:00:00+00:00,855,112,676,42
2024-03-14 00:00:00+00:00,1837,102,460,38
