time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-27 00:00:00+00:00,85,16,56,18
2024-04-28 00:00:00+00:00,22,9,14,6
2024-04-29 00:00:00+00:00,879,67,300,23
2024-04-30 00:00:00+00:00,504,70,161,30
2024-05-01 00:00:00+00:00,1010,73,458,26
2024-05-02 00:00:00+00:00,1136,76,436,34
2024-05-03 00:00:00+00:00,917,64,279,32
2024-05-04 00:00:00+00:00,147,27,107,13
2024-05-05 00:00:00+00:00,80,16,95,14
2024-05-06 00:00:00+00:00,286,32,238,41
2024-05-07 00:00:00+00:00,345,40,207,29
2024-05-08 00:00:00+00:00,1340,87,196,30
2024-05-09 00:00:00+00:00,718,66,295,28
2024-05-10 00:00:00+00:00,935,85,184,31
