referrer,views_total,views_unique
github.com,104,32
ethyca.atlassian.net,70,12
Google,40,26
ethyca.com,36,21
ethyca.github.io,14,3
chatgpt.com,11,3
Bing,6,3
search.brave.com,5,1
youtube.com,4,1
mail.google.com,3,1
