referrer,views_total,views_unique
github.com,642,39
ethyca.com,219,67
Google,124,38
ethyca.atlassian.net,88,8
ethyca.github.io,33,3
docs.ethyca.com,26,2
Baidu,8,1
hub.docker.com,7,4
mail.google.com,7,2
statics.teams.cdn.office.net,4,3
