referrer,views_total,views_unique
github.com,472,44
ethyca.com,119,68
Google,50,19
ethyca.github.io,31,11
t.co,4,3
confluence.gft.com,3,3
mail.google.com,2,1
ethyca.atlassian.net,1,1
Bing,1,1
youtube.com,1,1
