time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-17 00:00:00+00:00,5365,664,314,42
2026-04-18 00:00:00+00:00,453,79,34,10
2026-04-19 00:00:00+00:00,977,218,59,21
2026-04-20 00:00:00+00:00,9206,947,655,52
2026-04-21 00:00:00+00:00,9317,1256,521,42
2026-04-22 00:00:00+00:00,11364,1562,717,50
2026-04-23 00:00:00+00:00,8144,1258,453,52
2026-04-24 00:00:00+00:00,7006,1064,424,50
2026-04-25 00:00:00+00:00,3227,322,38,12
2026-04-26 00:00:00+00:00,1747,152,40,11
2026-04-27 00:00:00+00:00,4960,418,260,37
2026-04-28 00:00:00+00:00,9052,1036,398,44
2026-04-29 00:00:00+00:00,10363,1394,792,40
2026-04-30 00:00:00+00:00,7070,757,524,53
