referrer,views_total,views_unique
github.com,245,28
Google,105,40
ethyca.atlassian.net,54,10
ethyca.com,39,15
ethyca.github.io,19,3
news.ycombinator.com,11,8
Bing,7,3
github.atlassian.com,5,1
DuckDuckGo,3,1
m.sogou.com,2,1
