time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-10 00:00:00+00:00,105,7,110,8
2023-06-11 00:00:00+00:00,211,6,217,17
2023-06-12 00:00:00+00:00,537,9,601,32
2023-06-13 00:00:00+00:00,1065,14,556,34
2023-06-14 00:00:00+00:00,911,12,532,62
2023-06-15 00:00:00+00:00,1111,9,574,39
2023-06-16 00:00:00+00:00,991,12,526,27
2023-06-17 00:00:00+00:00,36,5,15,4
2023-06-18 00:00:00+00:00,4,4,122,6
2023-06-19 00:00:00+00:00,595,11,471,46
2023-06-20 00:00:00+00:00,763,7,533,54
2023-06-21 00:00:00+00:00,1454,14,1138,49
2023-06-22 00:00:00+00:00,249,8,477,45
2023-06-23 00:00:00+00:00,476,8,408,31
