time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-18 00:00:00+00:00,4,3,21,4
2024-08-19 00:00:00+00:00,293,11,399,50
2024-08-20 00:00:00+00:00,1032,23,390,39
2024-08-21 00:00:00+00:00,359,20,129,30
2024-08-22 00:00:00+00:00,449,27,228,34
2024-08-23 00:00:00+00:00,549,21,214,24
2024-08-24 00:00:00+00:00,234,8,79,11
2024-08-25 00:00:00+00:00,80,9,92,9
2024-08-26 00:00:00+00:00,456,13,306,28
2024-08-27 00:00:00+00:00,848,18,472,34
2024-08-28 00:00:00+00:00,1142,21,320,24
2024-08-29 00:00:00+00:00,943,14,298,30
2024-08-30 00:00:00+00:00,897,17,309,20
2024-08-31 00:00:00+00:00,3,2,7,5
