time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-17 00:00:00+00:00,327.0,16.0,320,39
2022-08-18 00:00:00+00:00,240.0,10.0,172,25
2022-08-19 00:00:00+00:00,180.0,4.0,93,21
2022-08-20 00:00:00+00:00,2.0,1.0,17,7
2022-08-21 00:00:00+00:00,,,16,6
2022-08-22 00:00:00+00:00,395.0,5.0,134,21
2022-08-23 00:00:00+00:00,91.0,4.0,185,22
2022-08-24 00:00:00+00:00,315.0,6.0,309,29
2022-08-25 00:00:00+00:00,176.0,9.0,155,25
2022-08-26 00:00:00+00:00,244.0,6.0,122,32
2022-08-27 00:00:00+00:00,1.0,1.0,45,14
2022-08-28 00:00:00+00:00,3.0,2.0,11,8
2022-08-29 00:00:00+00:00,227.0,3.0,168,20
2022-08-30 00:00:00+00:00,144.0,7.0,191,28
