time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-25 00:00:00+00:00,3513,566,491,76
2025-09-26 00:00:00+00:00,2848,387,404,76
2025-09-27 00:00:00+00:00,520,96,125,38
2025-09-28 00:00:00+00:00,443,44,107,26
2025-09-29 00:00:00+00:00,3866,727,495,86
2025-09-30 00:00:00+00:00,3426,570,501,76
2025-10-01 00:00:00+00:00,3585,639,523,74
2025-10-02 00:00:00+00:00,2793,452,363,62
2025-10-03 00:00:00+00:00,3232,602,366,57
2025-10-04 00:00:00+00:00,190,56,51,21
2025-10-05 00:00:00+00:00,53,21,42,21
2025-10-06 00:00:00+00:00,4537,913,423,87
2025-10-07 00:00:00+00:00,4378,639,487,88
2025-10-08 00:00:00+00:00,4816,871,463,93
