referrer,views_total,views_unique
github.com,745,48
Google,338,61
ethyca.com,111,52
ethyca.github.io,31,7
ethyca.atlassian.net,30,8
mail.google.com,18,4
codeclimate.com,14,3
pypi.org,3,1
docs.ethyca.com,3,1
DuckDuckGo,2,2
