referrer,views_total,views_unique
github.com,568,46
ethyca.com,154,61
Google,131,60
ethyca.github.io,81,15
ethyca.atlassian.net,61,9
docs.google.com,15,2
t.co,6,6
mail.google.com,5,2
linkedin.com,1,1
statics.teams.cdn.office.net,1,1
