time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-26 00:00:00+00:00,1895,170,286,67
2025-03-27 00:00:00+00:00,1210,121,253,42
2025-03-28 00:00:00+00:00,972,103,235,33
2025-03-29 00:00:00+00:00,183,21,17,10
2025-03-30 00:00:00+00:00,12,7,12,9
2025-03-31 00:00:00+00:00,1675,188,377,72
2025-04-01 00:00:00+00:00,1910,193,835,68
2025-04-02 00:00:00+00:00,3438,229,604,69
2025-04-03 00:00:00+00:00,891,121,389,29
2025-04-04 00:00:00+00:00,1858,181,314,50
2025-04-05 00:00:00+00:00,107,24,64,7
2025-04-06 00:00:00+00:00,376,44,113,16
2025-04-07 00:00:00+00:00,1990,196,336,40
2025-04-08 00:00:00+00:00,2064,156,522,48
