referrer,views_total,views_unique
github.com,124,31
ethyca.com,65,18
Google,36,21
ethyca.atlassian.net,16,6
ethyca.github.io,12,2
overflow.pl,12,1
cve.mitre.org,11,1
staticsint.teams.cdn.office.net,5,2
hub.docker.com,5,1
search.brave.com,5,1
