time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-09 00:00:00+00:00,684,57,380,29
2024-04-10 00:00:00+00:00,937,68,255,25
2024-04-11 00:00:00+00:00,1269,70,742,38
2024-04-12 00:00:00+00:00,1862,74,756,41
2024-04-13 00:00:00+00:00,10,8,60,15
2024-04-14 00:00:00+00:00,61,16,127,17
2024-04-15 00:00:00+00:00,395,47,243,31
2024-04-16 00:00:00+00:00,462,42,323,40
2024-04-17 00:00:00+00:00,816,62,401,46
2024-04-18 00:00:00+00:00,803,48,441,48
2024-04-19 00:00:00+00:00,1037,74,420,41
2024-04-20 00:00:00+00:00,9,8,16,5
2024-04-21 00:00:00+00:00,351,32,152,9
2024-04-22 00:00:00+00:00,830,61,204,27
