referrer,views_total,views_unique
github.com,235,38
ethyca.com,186,37
Google,147,41
ethyca.github.io,18,6
cve.mitre.org,18,4
DuckDuckGo,11,1
hub.docker.com,8,4
nvd.nist.gov,7,4
github.atlassian.com,4,1
security.snyk.io,4,1
