referrer,views_total,views_unique
github.com,719,37
ethyca.com,219,72
Google,123,42
ethyca.atlassian.net,89,8
ethyca.github.io,37,5
mail.google.com,15,2
Baidu,8,1
hub.docker.com,7,4
DuckDuckGo,4,3
lightrun.com,2,2
